Zip Code,Spend Share
92210,0.007471915546453902
94544,0.00007568007399799218
53406,0.000015776468878205894
91304,0.0005535565949677553
89084,0.0008837737063290392
95688,0.00017252247421346565
66061,0.00008159838506900995
29466,0.0002884523644057172
94960,0.0010213878382729017
80134,0.0007854200080781665
95926,0.0001339012376288103
93109,0.00003193292659009567
94133,0.00018784185594353673
93103,0.0017761484456552488
94611,0.0004424492425650806
90017,0.0006077900178133251
92311,0.0001847304973377839
84010,0.0006714573484196584
95403,0.0010430695205277212
83702,0.00044899369461774924
91205,0.0010466894369697626
75068,0.00039131007261826055
87031,0.00009221956788617921
93036,0.0007326161494926386
95762,0.0009007532865896137
57103,0.00006185666471030649
92113,0.00019432888638277725
85254,0.0022160983041613195
90041,0.00043239908098819914
79106,0.000029055758638107913
92119,0.0006082345941873556
13045,0.00001733916188840843
95123,0.0005490936441880366
95377,0.00012676864063323724
91387,0.0005911957832271149
80209,0.000709600761557193
89138,0.003924568018901717
80521,0.00023145388411293145
94526,0.002081364350533706
33708,0.0005410513661206738
94803,0.0005307700297853046
90402,0.00034900811666864994
95242,0.0000794119621984945
80203,0.0008287121195171128
78757,0.001437430927553484
81632,0.00010611417393253407
85260,0.0005401719404871546
19380,0.0006839736201552277
80302,0.00044779938026053636
91106,0.001348030870913858
91352,0.00015968162363381088
85629,0.00045199641615707877
92392,0.003822460917390075
84093,0.00016848004941715755
94518,0.0004275541958739373
50266,0.0006688259831853352
87059,0.00008173930574158431
80237,0.0005500014108139647
85281,0.001380211312155497
90094,0.00097659180079395
80125,0.00021599839465782187
98607,0.00024555646470937164
93292,0.00021485153234810002
76052,0.0010145665721379177
94122,0.00015325185835418005
91040,0.0005275491905984615
90006,0.00017551677273965893
55016,0.0002610605534623453
85213,0.00016939205789610816
92154,0.0020140389451722687
98125,0.0003134304775848053
91214,0.004751498422423476
95051,0.00012151647874188353
22102,0.0006714403575097771
10023,0.0003091082750883284
55129,0.0007972114954304713
96145,0.0004061864574423774
93551,0.002213138919973761
91403,0.001231202906529279
91321,0.00015577478944269323
94561,0.0003243188457896649
19047,0.00022493739153061013
96817,0.0007730717739904898
24503,0.00001852817255162598
95304,0.00018555129394986963
94945,0.0002340853366564788
80111,0.0003769479507449372
91502,0.00017088038083153874
94116,0.00034954849739035176
90038,0.0002500646868955048
95678,0.0008952942559261272
89074,0.0007288694958436358
28226,0.00019982943307615727
96766,0.00002506567295639103
90032,0.0006550361924841426
87121,0.00004491587185745083
30319,0.0009321858810851608
89141,0.001329383642578597
78258,0.00039578421933438897
92201,0.0026764315250088155
78006,0.0005268752715150745
75219,0.001494818058278232
95747,0.0016207372063324645
93013,0.00005369900165143706
93923,0.0001056742260873179
